,Invoice_ID,Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Date,Time,Payment,Rating,Tax_5%,Total,City
592,560-49-6611,A,Member,Female,Sports and travel,45.58,1,2019-02-07,14:13:00,Cash,9.8,2.279,47.858999999999995,Yangon
593,880-35-0356,A,Member,Female,Sports and travel,75.2,3,2019-02-05,11:51:00,Ewallet,4.8,11.280000000000001,236.88000000000002,Yangon
596,152-68-2907,A,Normal,Male,Food and beverages,52.2,3,2019-02-15,13:30:00,Credit card,9.5,7.830000000000002,164.43000000000004,Yangon
599,334-64-2006,A,Member,Female,Home and lifestyle,70.32,2,2019-03-24,14:22:00,Ewallet,9.6,7.032,147.672,Yangon
606,559-98-9873,A,Member,Female,Fashion accessories,53.65,7,2019-02-10,12:56:00,Ewallet,5.2,18.7775,394.3275,Yangon
608,318-12-0304,A,Normal,Male,Fashion accessories,30.61,1,2019-01-23,12:20:00,Ewallet,5.2,1.5305,32.1405,Yangon
610,421-95-9805,A,Normal,Female,Electronic accessories,28.96,1,2019-02-07,10:18:00,Credit card,6.2,1.4480000000000002,30.408,Yangon
614,443-59-0061,A,Member,Male,Food and beverages,67.45,10,2019-02-03,11:25:00,Ewallet,4.2,33.725,708.225,Yangon
615,509-29-3912,A,Member,Female,Sports and travel,38.72,9,2019-03-20,12:24:00,Ewallet,4.2,17.424000000000003,365.904,Yangon
618,828-46-6863,A,Member,Male,Food and beverages,98.53,6,2019-01-23,11:22:00,Credit card,4.0,29.559000000000005,620.739,Yangon
620,420-97-3340,A,Normal,Female,Food and beverages,71.68,3,2019-03-28,15:30:00,Credit card,9.2,10.752000000000002,225.79200000000003,Yangon
621,436-54-4512,A,Member,Female,Food and beverages,91.61,1,2019-03-20,19:44:00,Cash,9.8,4.5805,96.1905,Yangon
626,816-57-2053,A,Normal,Male,Sports and travel,60.87,2,2019-03-09,12:37:00,Ewallet,8.7,6.087,127.827,Yangon
628,856-66-2701,A,Member,Male,Home and lifestyle,53.3,3,2019-01-25,14:19:00,Ewallet,7.5,7.994999999999999,167.89499999999998,Yangon
629,308-39-1707,A,Normal,Female,Fashion accessories,12.09,1,2019-01-26,18:19:00,Credit card,8.2,0.6045,12.6945,Yangon
630,149-61-1929,A,Normal,Male,Sports and travel,64.19,10,2019-01-19,14:08:00,Credit card,6.7,32.095,673.995,Yangon
631,655-07-2265,A,Normal,Male,Electronic accessories,78.31,3,2019-03-05,16:38:00,Ewallet,5.4,11.746500000000001,246.6765,Yangon
632,589-02-8023,A,Member,Male,Food and beverages,83.77,2,2019-01-15,10:54:00,Credit card,7.0,8.377,175.917,Yangon
636,610-46-4100,A,Normal,Male,Health and beauty,28.95,7,2019-03-03,20:31:00,Credit card,6.0,10.1325,212.7825,Yangon
645,706-36-6154,A,Member,Male,Home and lifestyle,19.36,9,2019-01-18,18:43:00,Ewallet,8.7,8.712000000000002,182.952,Yangon
652,742-04-5161,A,Member,Male,Home and lifestyle,72.78,10,2019-02-03,17:24:00,Cash,7.3,36.39,764.1899999999999,Yangon
655,169-52-4504,A,Normal,Female,Electronic accessories,15.69,3,2019-03-14,14:13:00,Credit card,5.8,2.3535,49.4235,Yangon
657,562-12-5430,A,Member,Female,Fashion accessories,88.15,3,2019-01-18,10:11:00,Ewallet,7.9,13.222500000000004,277.67250000000007,Yangon
658,816-72-8853,A,Member,Female,Sports and travel,27.93,5,2019-01-29,15:48:00,Cash,5.9,6.982500000000001,146.6325,Yangon
659,491-38-3499,A,Member,Male,Fashion accessories,55.45,1,2019-02-26,17:46:00,Credit card,4.9,2.7725000000000004,58.222500000000004,Yangon
665,518-17-2983,A,Normal,Female,Fashion accessories,48.63,4,2019-02-04,15:44:00,Ewallet,7.6,9.726,204.246,Yangon
670,588-47-8641,A,Member,Male,Fashion accessories,56.04,10,2019-01-14,19:30:00,Ewallet,4.4,28.02,588.42,Yangon
674,811-03-8790,A,Normal,Female,Electronic accessories,45.48,10,2019-03-01,10:22:00,Credit card,4.8,22.74,477.53999999999996,Yangon
677,274-05-5470,A,Member,Female,Food and beverages,73.47,4,2019-02-23,18:30:00,Cash,6.0,14.694,308.574,Yangon
679,130-67-4723,A,Member,Male,Food and beverages,48.5,6,2019-01-11,13:57:00,Ewallet,9.4,14.55,305.55,Yangon
683,105-10-6182,A,Member,Male,Fashion accessories,21.48,2,2019-02-27,12:22:00,Ewallet,6.6,2.148,45.108000000000004,Yangon
687,648-83-1321,A,Member,Male,Home and lifestyle,63.56,10,2019-01-16,17:59:00,Cash,4.3,31.78,667.38,Yangon
689,305-03-2383,A,Normal,Female,Food and beverages,67.1,3,2019-02-15,10:36:00,Cash,7.5,10.065,211.36499999999998,Yangon
692,689-05-1884,A,Member,Male,Health and beauty,48.63,10,2019-03-04,12:44:00,Cash,8.8,24.315,510.615,Yangon
695,800-09-8606,A,Member,Female,Home and lifestyle,87.37,5,2019-01-29,19:45:00,Cash,6.6,21.8425,458.6925,Yangon
696,182-52-7000,A,Member,Female,Sports and travel,27.04,4,2019-01-01,20:26:00,Ewallet,6.9,5.408,113.568,Yangon
698,868-06-0466,A,Member,Male,Electronic accessories,69.58,9,2019-02-19,19:38:00,Credit card,7.8,31.311000000000003,657.5310000000001,Yangon
709,445-30-9252,A,Normal,Male,Sports and travel,25.7,3,2019-01-17,17:59:00,Ewallet,6.1,3.855,80.955,Yangon
710,786-94-2700,A,Member,Male,Food and beverages,80.62,6,2019-02-28,20:18:00,Cash,9.1,24.186000000000003,507.906,Yangon
715,258-92-7466,A,Normal,Female,Health and beauty,35.68,5,2019-02-06,18:33:00,Credit card,6.6,8.92,187.32,Yangon
716,857-16-3520,A,Member,Female,Fashion accessories,71.46,7,2019-03-28,16:06:00,Ewallet,4.5,25.011,525.231,Yangon
717,482-17-1179,A,Member,Male,Electronic accessories,11.94,3,2019-01-19,12:47:00,Credit card,8.1,1.7910000000000001,37.611,Yangon
718,788-21-5741,A,Normal,Male,Fashion accessories,45.38,3,2019-02-17,13:34:00,Credit card,7.2,6.807000000000001,142.947,Yangon
730,247-11-2470,A,Member,Female,Fashion accessories,22.32,4,2019-03-01,16:23:00,Credit card,4.4,4.464,93.744,Yangon
731,635-28-5728,A,Normal,Male,Health and beauty,56.0,3,2019-02-28,19:33:00,Ewallet,4.8,8.4,176.4,Yangon
732,756-49-0168,A,Member,Male,Fashion accessories,19.7,1,2019-02-08,11:39:00,Ewallet,9.5,0.985,20.685,Yangon
739,805-86-0265,A,Normal,Male,Home and lifestyle,93.96,9,2019-03-20,11:32:00,Cash,9.8,42.282000000000004,887.922,Yangon
742,373-14-0504,A,Member,Female,Sports and travel,71.63,2,2019-02-12,14:33:00,Ewallet,8.8,7.163,150.423,Yangon
743,546-80-2899,A,Member,Male,Home and lifestyle,37.69,2,2019-02-20,15:29:00,Ewallet,9.5,3.769,79.149,Yangon
751,585-86-8361,A,Normal,Female,Food and beverages,27.28,5,2019-02-03,10:31:00,Credit card,8.6,6.82,143.22,Yangon
752,807-14-7833,A,Member,Female,Electronic accessories,17.42,10,2019-02-22,12:30:00,Ewallet,7.0,8.71,182.91000000000003,Yangon
755,652-43-6591,A,Normal,Female,Fashion accessories,97.29,8,2019-03-09,13:18:00,Credit card,6.2,38.916000000000004,817.2360000000001,Yangon
757,406-46-7107,A,Normal,Female,Home and lifestyle,96.52,6,2019-01-11,11:52:00,Cash,4.5,28.956000000000003,608.076,Yangon
758,250-17-5703,A,Member,Male,Food and beverages,18.85,10,2019-02-27,18:24:00,Ewallet,5.6,9.425,197.925,Yangon
759,156-95-3964,A,Normal,Female,Food and beverages,55.39,4,2019-03-25,15:19:00,Ewallet,8.0,11.078000000000001,232.638,Yangon
762,410-67-1709,A,Member,Female,Fashion accessories,63.88,8,2019-01-20,17:48:00,Ewallet,9.9,25.552000000000003,536.592,Yangon
763,587-73-4862,A,Member,Female,Health and beauty,10.69,5,2019-03-26,11:07:00,Ewallet,7.6,2.6725,56.122499999999995,Yangon
764,787-87-2010,A,Member,Male,Health and beauty,55.5,4,2019-01-20,15:48:00,Credit card,6.6,11.100000000000001,233.1,Yangon
769,886-54-6089,A,Normal,Female,Home and lifestyle,11.43,6,2019-01-15,17:24:00,Cash,7.7,3.4290000000000003,72.009,Yangon
781,534-53-3526,A,Normal,Female,Sports and travel,94.76,4,2019-02-11,16:06:00,Ewallet,7.8,18.952,397.992,Yangon
782,307-04-2070,A,Member,Female,Fashion accessories,30.62,1,2019-02-05,14:14:00,Credit card,4.1,1.5310000000000001,32.151,Yangon
785,404-91-5964,A,Normal,Male,Electronic accessories,74.58,7,2019-02-04,16:09:00,Credit card,9.0,26.102999999999998,548.1629999999999,Yangon
789,497-37-6538,A,Normal,Male,Sports and travel,58.91,7,2019-01-17,15:15:00,Ewallet,9.7,20.6185,432.9885,Yangon
790,651-96-5970,A,Normal,Male,Fashion accessories,46.41,1,2019-03-03,20:06:00,Credit card,4.0,2.3205,48.7305,Yangon
793,263-12-5321,A,Member,Male,Electronic accessories,92.6,7,2019-02-27,12:52:00,Credit card,9.3,32.41,680.6099999999999,Yangon
794,702-72-0487,A,Normal,Female,Electronic accessories,46.61,2,2019-02-26,12:28:00,Credit card,6.6,4.6610000000000005,97.881,Yangon
797,864-24-7918,A,Member,Female,Sports and travel,24.49,10,2019-02-22,15:15:00,Cash,8.1,12.245,257.145,Yangon
803,759-29-9521,A,Member,Female,Fashion accessories,48.96,9,2019-03-04,11:27:00,Cash,8.0,22.032,462.67199999999997,Yangon
805,220-68-6701,A,Normal,Female,Home and lifestyle,77.47,4,2019-03-17,16:36:00,Cash,4.2,15.494,325.374,Yangon
806,618-34-8551,A,Normal,Female,Sports and travel,93.18,2,2019-01-16,18:41:00,Credit card,8.5,9.318000000000001,195.67800000000003,Yangon
807,257-60-7754,A,Normal,Female,Electronic accessories,50.23,4,2019-01-08,17:12:00,Cash,9.0,10.046,210.96599999999998,Yangon
811,380-60-5336,A,Normal,Female,Electronic accessories,40.26,10,2019-02-24,18:06:00,Credit card,5.0,20.13,422.72999999999996,Yangon
813,674-56-6360,A,Normal,Male,Electronic accessories,95.15,1,2019-03-22,14:00:00,Cash,6.0,4.7575,99.9075,Yangon
814,778-34-2523,A,Member,Female,Electronic accessories,48.62,8,2019-01-24,10:57:00,Cash,5.0,19.448,408.40799999999996,Yangon
817,832-51-6761,A,Normal,Male,Food and beverages,33.88,8,2019-01-19,20:29:00,Ewallet,9.6,13.552000000000001,284.59200000000004,Yangon
821,186-43-8965,A,Member,Female,Home and lifestyle,47.68,2,2019-02-24,10:10:00,Credit card,4.1,4.768,100.128,Yangon
823,276-75-6884,A,Normal,Female,Health and beauty,68.71,3,2019-03-04,10:05:00,Cash,8.7,10.3065,216.4365,Yangon
825,569-76-2760,A,Member,Female,Sports and travel,22.01,4,2019-01-29,18:15:00,Credit card,6.6,4.402,92.44200000000001,Yangon
827,760-53-9233,A,Member,Male,Fashion accessories,41.28,3,2019-03-26,18:37:00,Credit card,8.5,6.192,130.032,Yangon
829,416-17-9926,A,Member,Female,Electronic accessories,74.22,10,2019-01-01,14:42:00,Credit card,4.3,37.11000000000001,779.3100000000001,Yangon
830,237-44-6163,A,Normal,Male,Electronic accessories,10.56,8,2019-01-24,17:43:00,Cash,7.6,4.224,88.70400000000001,Yangon
833,528-14-9470,A,Member,Male,Health and beauty,91.3,1,2019-02-14,14:42:00,Ewallet,9.2,4.565,95.865,Yangon
835,807-34-3742,A,Normal,Male,Fashion accessories,52.38,1,2019-03-26,19:44:00,Cash,5.8,2.619,54.999,Yangon
836,288-62-1085,A,Member,Male,Fashion accessories,38.54,5,2019-01-09,13:34:00,Ewallet,5.6,9.635,202.33499999999998,Yangon
840,497-36-0989,A,Normal,Male,Fashion accessories,51.94,3,2019-02-15,15:21:00,Cash,7.9,7.791,163.611,Yangon
842,860-73-6466,A,Member,Female,Sports and travel,39.47,2,2019-03-02,16:16:00,Credit card,5.0,3.947,82.887,Yangon
844,896-34-0956,A,Normal,Male,Fashion accessories,21.32,1,2019-01-26,12:43:00,Cash,5.9,1.066,22.386,Yangon
845,804-38-3935,A,Member,Male,Electronic accessories,93.78,3,2019-01-30,11:32:00,Credit card,5.9,14.067000000000002,295.40700000000004,Yangon
846,585-90-0249,A,Member,Male,Electronic accessories,73.26,1,2019-01-27,18:08:00,Ewallet,9.7,3.6630000000000003,76.923,Yangon
849,125-45-2293,A,Normal,Female,Fashion accessories,99.1,6,2019-01-19,13:11:00,Cash,4.2,29.729999999999997,624.3299999999999,Yangon
850,843-73-4724,A,Normal,Male,Fashion accessories,74.1,1,2019-01-25,11:05:00,Cash,9.2,3.705,77.80499999999999,Yangon
851,409-33-9708,A,Normal,Female,Fashion accessories,98.48,2,2019-02-19,10:12:00,Ewallet,9.2,9.848,206.80800000000002,Yangon
854,160-22-2687,A,Member,Female,Health and beauty,95.95,5,2019-01-23,14:21:00,Ewallet,8.8,23.9875,503.7375,Yangon
857,748-45-2862,A,Member,Female,Home and lifestyle,28.31,4,2019-03-07,18:35:00,Cash,8.2,5.662,118.902,Yangon
859,316-66-3011,A,Member,Female,Food and beverages,47.63,9,2019-01-23,12:35:00,Cash,5.0,21.433500000000002,450.1035,Yangon
861,840-76-5966,A,Member,Male,Sports and travel,12.76,2,2019-01-08,18:06:00,Ewallet,7.8,1.276,26.796,Yangon
864,124-31-1458,A,Member,Female,Electronic accessories,79.59,3,2019-01-08,14:30:00,Cash,6.6,11.938500000000001,250.70850000000002,Yangon
869,852-82-2749,A,Normal,Male,Sports and travel,64.59,4,2019-01-06,13:35:00,Ewallet,9.3,12.918000000000001,271.278,Yangon
870,873-14-6353,A,Member,Male,Food and beverages,24.82,7,2019-02-16,10:33:00,Credit card,7.1,8.687000000000001,182.42700000000002,Yangon
873,166-19-2553,A,Member,Male,Sports and travel,89.06,6,2019-01-18,17:26:00,Cash,9.9,26.718000000000004,561.078,Yangon
874,737-88-5876,A,Member,Male,Home and lifestyle,23.29,4,2019-03-19,11:52:00,Credit card,5.9,4.658,97.818,Yangon
878,448-61-3783,A,Normal,Female,Electronic accessories,90.02,8,2019-03-21,16:08:00,Credit card,4.5,36.008,756.168,Yangon
883,291-55-6563,A,Member,Female,Home and lifestyle,34.42,6,2019-03-30,12:45:00,Ewallet,7.5,10.326,216.846,Yangon
884,548-48-3156,A,Member,Female,Food and beverages,83.34,2,2019-03-19,13:37:00,Cash,7.6,8.334000000000001,175.014,Yangon
885,460-93-5834,A,Normal,Male,Sports and travel,45.58,7,2019-01-13,10:03:00,Cash,5.0,15.953000000000001,335.013,Yangon
886,325-89-4209,A,Member,Male,Food and beverages,87.9,1,2019-02-05,19:42:00,Ewallet,6.7,4.3950000000000005,92.295,Yangon
887,884-80-6021,A,Member,Female,Electronic accessories,73.47,10,2019-03-23,13:14:00,Ewallet,9.5,36.73500000000001,771.4350000000001,Yangon
889,880-46-5796,A,Member,Male,Sports and travel,76.92,10,2019-03-17,19:53:00,Ewallet,5.6,38.46000000000001,807.6600000000001,Yangon
899,146-09-5432,A,Member,Male,Food and beverages,35.04,9,2019-02-09,19:17:00,Ewallet,4.6,15.768,331.12800000000004,Yangon
902,595-94-9924,A,Member,Female,Health and beauty,27.73,5,2019-03-26,20:21:00,Credit card,4.2,6.932500000000001,145.5825,Yangon
903,865-41-9075,A,Normal,Male,Food and beverages,11.53,7,2019-01-28,17:35:00,Cash,8.1,4.0355,84.74549999999999,Yangon
908,186-71-5196,A,Member,Female,Food and beverages,79.54,2,2019-03-27,16:30:00,Ewallet,6.2,7.954000000000001,167.03400000000002,Yangon
912,453-33-6436,A,Normal,Female,Home and lifestyle,93.12,8,2019-02-07,10:09:00,Cash,6.8,37.248000000000005,782.2080000000001,Yangon
913,522-57-8364,A,Member,Male,Fashion accessories,51.34,8,2019-01-31,10:00:00,Ewallet,7.6,20.536,431.25600000000003,Yangon
914,459-45-2396,A,Member,Female,Food and beverages,99.6,3,2019-02-25,18:45:00,Cash,5.8,14.939999999999998,313.73999999999995,Yangon
917,749-81-8133,A,Normal,Female,Fashion accessories,94.67,4,2019-03-11,12:04:00,Cash,6.8,18.934,397.61400000000003,Yangon
927,397-25-8725,A,Member,Female,Health and beauty,39.62,9,2019-01-13,17:54:00,Credit card,6.8,17.829,374.409,Yangon
932,243-55-8457,A,Normal,Female,Food and beverages,74.44,10,2019-02-27,11:40:00,Ewallet,5.1,37.22,781.62,Yangon
937,361-85-2571,A,Normal,Female,Sports and travel,89.48,5,2019-03-30,10:18:00,Cash,7.4,22.370000000000005,469.77000000000004,Yangon
938,131-70-8179,A,Member,Female,Health and beauty,92.09,3,2019-02-17,16:27:00,Cash,4.2,13.8135,290.08349999999996,Yangon
940,720-72-2436,A,Normal,Male,Food and beverages,66.52,4,2019-03-02,18:14:00,Ewallet,6.9,13.304,279.38399999999996,Yangon
942,809-69-9497,A,Normal,Female,Home and lifestyle,45.68,10,2019-01-19,19:30:00,Ewallet,5.7,22.840000000000003,479.64,Yangon
943,449-16-6770,A,Normal,Male,Health and beauty,50.79,5,2019-02-19,14:53:00,Credit card,5.3,12.6975,266.6475,Yangon
944,333-23-2632,A,Member,Male,Health and beauty,10.08,7,2019-03-28,20:14:00,Cash,4.2,3.5280000000000005,74.08800000000001,Yangon
945,489-82-1237,A,Normal,Female,Electronic accessories,93.88,7,2019-01-05,11:51:00,Credit card,7.3,32.858,690.0179999999999,Yangon
955,846-10-0341,A,Normal,Female,Fashion accessories,42.57,7,2019-01-06,11:51:00,Cash,6.8,14.899500000000002,312.8895,Yangon
959,384-59-6655,A,Member,Female,Food and beverages,98.66,9,2019-02-19,15:07:00,Cash,8.4,44.397,932.337,Yangon
961,324-92-3863,A,Member,Male,Electronic accessories,20.89,2,2019-02-05,18:45:00,Cash,9.8,2.089,43.869,Yangon
962,593-08-5916,A,Normal,Female,Fashion accessories,15.5,1,2019-03-19,15:23:00,Credit card,7.4,0.775,16.275,Yangon
966,558-60-5016,A,Normal,Female,Home and lifestyle,33.3,9,2019-03-04,15:27:00,Ewallet,7.2,14.985,314.685,Yangon
967,195-06-0432,A,Member,Male,Home and lifestyle,81.01,3,2019-01-13,12:55:00,Credit card,9.3,12.151500000000002,255.18150000000003,Yangon
968,605-03-2706,A,Normal,Female,Health and beauty,15.8,3,2019-03-25,18:02:00,Cash,9.5,2.3700000000000006,49.77,Yangon
973,531-56-4728,A,Normal,Male,Home and lifestyle,80.08,3,2019-02-11,15:29:00,Cash,5.4,12.012,252.252,Yangon
976,221-25-5073,A,Normal,Female,Food and beverages,74.66,4,2019-03-04,10:39:00,Cash,8.5,14.932,313.572,Yangon
981,809-46-1866,A,Normal,Male,Health and beauty,58.15,4,2019-01-23,17:44:00,Cash,8.4,11.63,244.23,Yangon
982,139-32-4183,A,Member,Female,Sports and travel,97.48,9,2019-03-14,14:19:00,Ewallet,7.4,43.86600000000001,921.186,Yangon
990,886-18-2897,A,Normal,Female,Food and beverages,56.56,5,2019-03-22,19:06:00,Credit card,4.5,14.14,296.94,Yangon
992,745-74-0715,A,Normal,Male,Electronic accessories,58.03,2,2019-03-10,20:46:00,Ewallet,8.8,5.803000000000001,121.863,Yangon
997,727-02-1313,A,Member,Male,Food and beverages,31.84,1,2019-02-09,13:22:00,Cash,7.7,1.592,33.432,Yangon
998,347-56-2442,A,Normal,Male,Home and lifestyle,65.82,1,2019-02-22,15:33:00,Cash,4.1,3.291,69.11099999999999,Yangon
999,849-09-3807,A,Member,Female,Fashion accessories,88.34,7,2019-02-18,13:28:00,Cash,6.6,30.919,649.299,Yangon
1007,226-31-3081,C,Normal,Male,Electronic accessories,15.28,5,2019-03-08,10:29:00,Cash,9.6,3.82,80.21999999999998,Naypyitaw
1011,699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,2019-03-25,18:30:00,Ewallet,4.1,29.8865,627.6165,Naypyitaw
1013,315-22-5665,C,Normal,Male,Home and lifestyle,73.56,10,2019-02-24,11:38:00,Ewallet,8.0,36.78,772.38,Naypyitaw
1026,300-71-4605,C,Normal,Male,Electronic accessories,86.04,5,2019-02-25,11:24:00,Ewallet,4.8,21.510000000000005,451.71000000000004,Naypyitaw
1040,183-56-6882,C,Normal,Male,Food and beverages,99.42,4,2019-02-06,10:42:00,Ewallet,7.5,19.884,417.564,Naypyitaw
1041,232-16-2483,C,Normal,Male,Sports and travel,68.12,1,2019-01-07,12:28:00,Ewallet,6.8,3.4060000000000006,71.52600000000001,Naypyitaw
1044,333-73-7901,C,Normal,Male,Health and beauty,54.92,8,2019-03-23,13:24:00,Ewallet,7.6,21.968000000000004,461.32800000000003,Naypyitaw
1047,554-53-8700,C,Normal,Male,Home and lifestyle,56.11,2,2019-02-02,10:11:00,Cash,6.3,5.611000000000001,117.831,Naypyitaw
1049,228-96-1411,C,Normal,Male,Food and beverages,98.7,8,2019-03-04,20:39:00,Cash,7.6,39.480000000000004,829.08,Naypyitaw
1050,617-15-4209,C,Normal,Male,Health and beauty,15.37,2,2019-03-16,19:47:00,Cash,7.2,1.537,32.277,Naypyitaw
1055,574-22-5561,C,Normal,Female,Fashion accessories,82.63,10,2019-03-19,17:08:00,Ewallet,7.9,41.315,867.615,Naypyitaw
1056,326-78-5178,C,Normal,Male,Food and beverages,91.4,7,2019-02-03,10:19:00,Cash,9.5,31.990000000000006,671.7900000000001,Naypyitaw
1059,778-71-5554,C,Normal,Male,Fashion accessories,15.43,1,2019-01-25,15:46:00,Credit card,6.1,0.7715000000000001,16.2015,Naypyitaw
1061,399-46-5918,C,Normal,Female,Electronic accessories,85.98,8,2019-02-28,19:01:00,Cash,8.2,34.392,722.2320000000001,Naypyitaw
1065,120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,2019-03-12,20:36:00,Cash,9.3,9.183,192.843,Naypyitaw
1066,285-68-5083,C,Normal,Female,Sports and travel,24.74,3,2019-02-15,17:47:00,Credit card,10.0,3.7110000000000003,77.931,Naypyitaw
1067,803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6,2019-02-24,10:55:00,Ewallet,7.0,16.719,351.099,Naypyitaw
1072,838-78-4295,C,Normal,Female,Health and beauty,33.47,2,2019-02-10,15:43:00,Ewallet,6.7,3.347,70.28699999999999,Naypyitaw
1076,393-65-2792,C,Normal,Male,Food and beverages,89.48,10,2019-01-06,12:46:00,Credit card,9.6,44.74000000000001,939.5400000000001,Naypyitaw
1077,796-12-2025,C,Normal,Male,Fashion accessories,62.12,10,2019-02-11,16:19:00,Cash,5.9,31.06,652.2599999999999,Naypyitaw
1079,841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,2019-03-09,18:21:00,Cash,8.7,22.773,478.233,Naypyitaw
1081,732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,2019-01-13,17:04:00,Credit card,5.4,20.825000000000003,437.325,Naypyitaw
1082,263-10-3913,C,Member,Male,Fashion accessories,49.04,9,2019-01-09,14:20:00,Credit card,8.6,22.068,463.428,Naypyitaw
1084,829-49-1914,C,Member,Female,Food and beverages,78.31,10,2019-03-05,16:24:00,Ewallet,6.6,39.155,822.255,Naypyitaw
1085,756-01-7507,C,Normal,Female,Health and beauty,20.38,5,2019-01-22,18:56:00,Cash,6.0,5.095,106.99499999999999,Naypyitaw
1086,870-72-4431,C,Normal,Female,Health and beauty,99.19,6,2019-01-21,14:42:00,Credit card,5.5,29.757,624.8969999999999,Naypyitaw
1088,480-63-2856,C,Normal,Male,Food and beverages,19.25,8,2019-01-23,18:37:00,Ewallet,6.6,7.7,161.7,Naypyitaw
1089,787-56-0757,C,Member,Female,Food and beverages,80.36,4,2019-02-23,18:45:00,Credit card,8.3,16.072,337.512,Naypyitaw
1090,360-39-5055,C,Member,Male,Sports and travel,48.91,5,2019-03-09,10:17:00,Cash,6.6,12.2275,256.7775,Naypyitaw
1091,730-50-9884,C,Normal,Female,Sports and travel,83.06,7,2019-03-05,14:31:00,Ewallet,4.0,29.071000000000005,610.4910000000001,Naypyitaw
1092,362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,2019-03-25,10:23:00,Cash,9.9,19.13,401.72999999999996,Naypyitaw
1096,565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,2019-01-23,10:25:00,Cash,7.1,9.476,198.996,Naypyitaw
1097,225-32-0908,C,Normal,Female,Sports and travel,44.86,10,2019-01-26,19:54:00,Ewallet,8.2,22.430000000000003,471.03000000000003,Naypyitaw
1100,512-91-0811,C,Normal,Male,Health and beauty,89.75,1,2019-02-06,20:05:00,Credit card,6.6,4.4875,94.2375,Naypyitaw
1103,871-39-9221,C,Normal,Female,Electronic accessories,12.45,6,2019-02-09,13:11:00,Cash,4.1,3.7349999999999994,78.43499999999999,Naypyitaw
1106,163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2019-03-26,19:20:00,Cash,4.1,2.4355,51.1455,Naypyitaw
1107,189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,2019-03-01,13:22:00,Cash,7.2,35.3475,742.2974999999999,Naypyitaw
1108,551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,2019-02-01,11:27:00,Cash,4.9,10.3815,218.01149999999998,Naypyitaw
1112,628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,2019-01-05,20:54:00,Credit card,7.9,8.214,172.494,Naypyitaw
1114,588-01-7461,C,Normal,Female,Food and beverages,33.98,9,2019-03-24,10:43:00,Cash,4.2,15.291,321.111,Naypyitaw
1115,861-77-0145,C,Member,Male,Electronic accessories,81.97,10,2019-03-03,14:30:00,Cash,9.2,40.98500000000001,860.6850000000001,Naypyitaw
1117,210-67-5886,C,Member,Female,Health and beauty,98.21,3,2019-02-05,10:41:00,Credit card,7.8,14.7315,309.3615,Naypyitaw
1120,237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,2019-02-01,20:31:00,Credit card,9.5,36.3555,763.4655,Naypyitaw
1121,225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,2019-03-02,13:01:00,Credit card,7.1,4.053,85.113,Naypyitaw
1127,659-36-1684,C,Member,Male,Sports and travel,57.12,7,2019-01-12,12:02:00,Credit card,6.5,19.992,419.832,Naypyitaw
1129,336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,2019-03-13,19:52:00,Credit card,4.6,25.564,536.8439999999999,Naypyitaw
1133,189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,2019-01-08,16:17:00,Credit card,5.9,14.278500000000001,299.8485,Naypyitaw
1134,663-86-9076,C,Member,Female,Food and beverages,68.54,8,2019-01-08,15:57:00,Ewallet,8.5,27.416000000000004,575.7360000000001,Naypyitaw
1140,483-71-1164,C,Normal,Female,Health and beauty,81.3,6,2019-03-08,16:43:00,Ewallet,5.3,24.39,512.1899999999999,Naypyitaw
1141,597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,2019-02-18,19:39:00,Cash,6.2,13.533,284.193,Naypyitaw
1146,731-81-9469,C,Member,Female,Sports and travel,89.8,10,2019-01-23,13:00:00,Credit card,5.4,44.900000000000006,942.9,Naypyitaw
1147,280-17-4359,C,Member,Male,Health and beauty,90.5,10,2019-01-25,13:48:00,Cash,8.1,45.25,950.25,Naypyitaw
1148,338-65-2210,C,Member,Female,Health and beauty,68.6,10,2019-02-05,19:57:00,Cash,9.1,34.300000000000004,720.3,Naypyitaw
1149,488-25-4221,C,Member,Female,Food and beverages,30.41,1,2019-02-22,10:36:00,Credit card,8.4,1.5205000000000002,31.930500000000002,Naypyitaw
1151,458-41-1477,C,Normal,Female,Health and beauty,46.26,6,2019-03-08,17:11:00,Credit card,9.5,13.878,291.438,Naypyitaw
1153,568-90-5112,C,Normal,Male,Health and beauty,66.14,4,2019-03-19,12:46:00,Credit card,5.6,13.228000000000002,277.788,Naypyitaw
